www.agrometeorologia.cl;;
Red Agrometeorológica de INIA;;
Generado el 01-08-2025 17:18:21;;
Quinta Normal, Quinta Normal;;
;;
Tiempo UTC-4;Temperatura del Aire ºC;Temperatura del Aire % de datos 
Ene-2018;21,5;100
Feb-2018;21,6;100
Mar-2018;19,4;100
Abr-2018;16,6;100
May-2018;13,3;100
Jun-2018;9,5;100
Jul-2018;9,4;100
Ago-2018;11,2;100
Sep-2018;13,8;100
Oct-2018;15,5;100
Nov-2018;19,4;100
Dic-2018;20,3;100
Ene-2019;21,9;100
Feb-2019;22,3;100
Mar-2019;19,3;100
Abr-2019;15,9;100
May-2019;12,4;100
Jun-2019;9,4;100
Jul-2019;9,7;100
Ago-2019;12,3;100
Sep-2019;13,3;100
Oct-2019;15,7;100
Nov-2019;20,1;100
Dic-2019;21,9;100
Ene-2020;22,6;100
Feb-2020;21,8;100
Mar-2020;20,5;100
Abr-2020;17,3;100
May-2020;14;100
Jun-2020;9;100
Jul-2020;9,8;100
Ago-2020;10,5;100
Sep-2020;13,8;100
Oct-2020;16,2;100
Nov-2020;18,2;100
Dic-2020;20,7;100
Ene-2021;21,3;100
Feb-2021;20;100
Mar-2021;19;100
Abr-2021;16;100
May-2021;12,9;100
Jun-2021;11,2;100
Jul-2021;10;100
Ago-2021;11,2;100
Sep-2021;13,1;100
Oct-2021;16,4;100
Nov-2021;18,7;100
Dic-2021;20,6;100
Ene-2022;21;100
Feb-2022;20,9;100
Mar-2022;19,3;100
Abr-2022;15,7;100
May-2022;12,6;100
Jun-2022;9,7;100
Jul-2022;8,5;100
Ago-2022;11;100
Sep-2022;12,5;100
Oct-2022;16,5;95
Nov-2022;19,4;100
Dic-2022;22,1;100
Ene-2023;22;100
Feb-2023;23,1;100
Mar-2023;21,6;99
Abr-2023;17;100
May-2023;13,4;100
Jun-2023;11,7;100
Jul-2023;11;100
Ago-2023;12,5;100
Sep-2023;12,9;100
Oct-2023;14,7;100
Nov-2023;16,5;100
Dic-2023;20;100
Ene-2024;22,7;100
Feb-2024;23;100
Mar-2024;20,9;100
Abr-2024;16,3;100
May-2024;9,5;100
Jun-2024;10,3;100
Jul-2024;9,5;100
Ago-2024;10,1;100
Sep-2024;13,7;100
Oct-2024;17,1;100
Nov-2024;18,5;100
Dic-2024;20,5;100
Ene-2025;22,9;100
Feb-2025;22,6;100
Mar-2025;19,6;100
Abr-2025;16;100
May-2025;13,6;100
Jun-2025;9,6;100
;;
;;
El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.;;
Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png;;
